participant_id,sentence_id,sentence_content,sentence_length,word_sequence,skipped_words,regressed_words,skip_pairs,regression_pairs,skipped_words_count,regressed_words_count,word_skip_rate,word_regression_rate,skipped_then_regressed_proportion,max_skip_distance,max_regression_distance,fixation_omission_rate,fixation_regression_rate,mean_FFD,mean_GD,mean_GPT,mean_TRT,mean_nFixations,mean_meanPupilSize
ZJS,50,"They were part of the Puritan movement, especially following the teachings of John Cotton.",14,"0,1,3,5,6,4","2,4",4,"(1,3); (3,5)","(6,4)",2,1,0.14285714285714285,0.07142857142857142,1.0,1,2,0.5714285714285714,0.16666666666666666,118.16666666666667,118.16666666666667,171.5,118.16666666666667,1.0,1048.8333333333333
ZJS,51,Three U.S. Presidents (Franklin D. Roosevelt and both Bushes - George H. W. Bush and George W. Bush) are her descendants.,21,"0,2,3,3,5,7,10,12,13,14,12,3","1,4,6,8,9,11",12,"(0,2); (3,5); (5,7); (7,10); (10,12)","(14,12)",6,1,0.2857142857142857,0.047619047619047616,0.0,2,2,0.47619047619047616,0.2857142857142857,82.0909090909091,93.72727272727273,158.54545454545453,117.0909090909091,1.2727272727272727,1175.090909090909
ZJS,52,"Another descendant, Eve LaPlante, is the author of the most recent biography of Anne Hutchinson, American Jezebel: The Uncommon Life of Anne Hutchinson, the Woman Who Defied the Puritans.",29,"0,1,3,7,10,11,14,15,18,6,7,3,3,1,1","2,4,5,6,8,9,12,13,16,17","1,3","(1,3); (3,7); (7,10); (11,14); (15,18)","(7,3); (3,1)",10,2,0.3448275862068966,0.06896551724137931,0.0,3,4,0.6551724137931034,0.3333333333333333,91.1,91.1,150.7,143.9,1.5,1075.95
ZJS,53,"Hutchinson was born Anne Marbury on July 17, 1591 in Alford, Lincolnshire, England.",13,"0,2,3,2,4,5,7,10,11,12,12,11","1,3,6,8,9","2,11","(0,2); (2,4); (5,7); (7,10)","(3,2); (12,11)",5,2,0.38461538461538464,0.15384615384615385,0.0,2,1,0.3076923076923077,0.16666666666666666,104.33333333333333,117.0,144.22222222222223,144.22222222222223,1.3333333333333333,968.7222222222222
ZJS,54,"Hutchinson emigrated from England to Massachusetts in 1634, in response to the preacher John Cotton's doing so.",17,"0,0,1,2,3,4,5,5,9,10,9,12,11,9,8,12,11","6,7,8,10,11","8,9,11","(5,9); (9,12)","(10,9); (12,11); (11,9); (9,8); (12,11)",5,5,0.29411764705882354,0.29411764705882354,0.6666666666666666,3,2,0.35294117647058826,0.35294117647058826,85.54545454545455,104.36363636363636,178.1818181818182,142.72727272727272,1.5454545454545454,1039.1060606060607
ZJS,55,"She later moved yet further from her Boston-based persecutors, to what is now The Bronx in northern New York City.",20,"0,3,3,4,7,8,10,9,13,14,16,2","1,2,5,6,9,10,11,12,15",9,"(0,3); (4,7); (8,10); (9,13); (14,16)","(10,9)",9,1,0.45,0.05,1.0,3,1,0.45,0.25,94.63636363636364,101.9090909090909,119.81818181818181,101.9090909090909,1.0909090909090908,980.9090909090909
ZJS,56,"Erin Fleming (August 13, 1941- April 15, 2003) was a minor actress who was best known as the companion and care-giver to Groucho Marx in his final years.",28,"1,2,3,5,4,2,3,4,6,7,11,11,14,13,11,13,14,15,17,18,19,16","4,5,8,9,10,12,13,16","2,4,11,13,16","(3,5); (4,6); (7,11); (11,14); (15,17)","(5,4); (4,2); (14,13); (13,11); (19,16)",8,5,0.2857142857142857,0.17857142857142858,0.6,3,3,0.4642857142857143,0.2727272727272727,111.33333333333333,117.53333333333333,223.26666666666668,164.2,1.4666666666666666,929.2666666666667
ZJS,57,Fleming was born Marilyn Fleming in Canada.,7,"0,0,0,3","1,2",,"(0,3)",,2,0,0.2857142857142857,0.0,0.0,2,0,0.7142857142857143,0.25,150.5,233.5,233.5,233.5,2.0,934.0
ZJS,58,"Sir Andrew Fielding Huxley, OM, FRS (born 22 November 1917, Hampstead, London, England, UK) is a British physiologist and biophysicist, who won the 1963 Nobel Prize in Physiology or Medicine for his work with Alan Lloyd Hodgkin on the basis of nerve ""action potentials,"" the electrical impulses that enable the activity of an organism to be coordinated by a central nervous system.",62,"0,1,3,4,5,2",2,2,"(1,3)","(5,2)",1,1,0.016129032258064516,0.016129032258064516,1.0,1,3,0.9032258064516129,0.16666666666666666,107.5,107.5,123.0,107.5,1.0,1014.6666666666666
ZJS,59,"Hodgkin and Huxley shared the prize that year with John Carew Eccles, who was cited for research on synapses.",19,"0,2,9,10,10,12,16,18,18,12","1,3,4,5,6,7,8,11,13,14,15,17",,"(0,2); (2,9); (10,12); (12,16); (16,18)",,12,0,0.631578947368421,0.0,0.0,6,0,0.5789473684210527,0.36363636363636365,86.125,104.0,134.5,122.75,1.375,1054.6875
ZJS,60,"Huxley was a son of the writer and editor Leonard Huxley by his second wife Rosalind Bruce, and hence half-brother of Aldous Huxley and fellow biologist Julian Huxley and grandson of the biologist T. H. Huxley.",36,"0,0,3,3,5,7,8,9,12,13,13,11,13,15,15,16,18,15","1,2,4,6,10,11,14,17","11,15","(0,3); (3,5); (5,7); (9,12); (13,15); (16,18)","(13,11); (18,15)",8,2,0.2222222222222222,0.05555555555555555,0.5,2,3,0.6666666666666666,0.2777777777777778,111.16666666666667,140.91666666666666,173.25,164.75,1.5,935.1805555555555
ZJS,61,"Albert Einstein (March 14, 1879 - April 18, 1955) was a German-born Jewish theoretical physicist of German, Swiss and American citizenship, who is widely regarded as the greatest scientist of the 20th century or even of all time, ranking alongside the luminaries Newton and Gauss.",45,"0,1,2,3,6,8,9,11,11,12,13,14,16,16,19,19,20,22,24,24,24,24,28,30,32,34,2","4,5,7,10,15,17,18,21,23,25,26,27,29,31,33",,"(3,6); (6,8); (9,11); (14,16); (16,19); (20,22); (22,24); (24,28); (28,30); (30,32); (32,34)",,15,0,0.3333333333333333,0.0,0.0,3,0,0.5555555555555556,0.21428571428571427,106.4,136.45,165.6,160.25,1.4,878.825
